CLERK,CLERK_ID,QUEUE,SITE,SHIFT,YEARS_EXP,BASELINE_TASKS,BASELINE_ERROR,TRAINING_SCORE,TREATMENT,SHIFT_START,SHIFT_END,TASKS_COMPLETED,ERROR_RATE,SHIFT_HOURS
Leah Kim,LPC-2125,Auto,Irvine Ops Center,Day,2.1,8.3,2.7,90.0,1,2026-02-18 07:56:00,2026-02-18 15:50:00,76.0,3.6,7.9
Rosa Young,LPC-2126,Auto,Irvine Ops Center,Day,4.3,9.1,2.4,88.0,1,,,82.0,3.4,
Samuel Hale,LPC-2127,Auto,Irvine Ops Center,Day,3.9,8.5,2.3,87.0,0,,,66.0,2.4,
Victor Kim,LPC-2128,Auto,Irvine Ops Center,Day,6.0,8.7,1.9,89.0,0,,,66.0,1.9,
Janelle Usman,LPC-2129,Auto,Irvine Ops Center,Day,4.4,8.3,1.7,99.0,0,,,63.0,1.6,
Priya Ellison,LPC-2130,Auto,Irvine Ops Center,Day,2.4,7.9,1.9,87.0,1,,,72.0,2.9,
Victor Nguyen,LPC-2131,Auto,Irvine Ops Center,Day,3.5,8.6,2.2,86.0,0,,,69.0,2.4,
Talia Nguyen,LPC-2132,Auto,Irvine Ops Center,Day,3.4,9.1,2.3,87.0,1,2026-02-20 08:05:00,2026-02-20 16:10:00,77.0,2.8,8.083333333333334
Kevin Choi,LPC-2133,Auto,Irvine Ops Center,Day,4.2,9.2,2.1,84.0,0,,,77.0,1.9,
Janelle Valdez,LPC-2134,Auto,Irvine Ops Center,Day,3.1,8.6,2.0,92.0,0,,,70.0,2.5,
Hannah Foster,LPC-2135,Auto,Irvine Ops Center,Day,6.1,9.6,2.2,85.0,1,,,77.0,2.8,
Talia Choi,LPC-2136,Auto,Irvine Ops Center,Day,4.8,9.3,2.0,93.0,1,,,93.0,2.2,
Carla Gupta,LPC-2137,Auto,Irvine Ops Center,Evening,2.3,8.4,2.6,79.0,0,,,55.0,2.5,
Janelle Ortiz,LPC-2138,Auto,Irvine Ops Center,Evening,4.1,8.4,2.5,84.0,1,,,75.0,3.0,
Leah Ibarra,LPC-2139,Auto,Irvine Ops Center,Evening,2.9,8.9,2.5,92.0,0,,,61.0,2.7,
Yasmin Young,LPC-2140,Auto,Irvine Ops Center,Evening,7.1,9.3,1.7,94.0,0,,,74.0,1.8,
Zane Ellison,LPC-2141,Auto,Irvine Ops Center,Evening,3.3,8.5,3.3,87.0,0,,,70.0,3.2,
Gavin Gupta,LPC-2142,Auto,Irvine Ops Center,Evening,5.2,8.8,1.7,94.0,1,,,77.0,2.2,
Derek Ibarra,LPC-2143,Auto,Irvine Ops Center,Evening,3.9,8.6,2.5,85.0,0,,,72.0,2.5,
Derek Alvarez,LPC-2144,Auto,Irvine Ops Center,Evening,5.2,9.4,1.9,85100.0,1,,,86.0,2.4,
Zane Turner,LPC-2145,Auto,Irvine Ops Center,Evening,8.5,10.7,2.2,89.0,1,,,100.0,2.5,
Derek Bennett,LPC-2146,Auto,Irvine Ops Center,Evening,4.1,8.8,2.8,85.0,0,,,76.0,2.8,
Rosa Hale,LPC-2147,Auto,Irvine Ops Center,Evening,5.8,8.9,2.5,85.0,1,,2026-02-21 20:32:00,84.0,3.1,
Nina Morris,LPC-2148,Auto,Irvine Ops Center,Evening,0.5,7.4,2.2,93.0,1,,,71.0,3.0,
Nina Reed,LPC-2101,Mortgage,Irvine Ops Center,Day,4.3,7.6,2.4,89100.0,1,2026-02-17 08:21:00,,73.0,3.2,
Omar Ellison,LPC-2102,Mortgage,Irvine Ops Center,Day,5.2,7.6,3.2,82.0,0,,,58.0,3.0,
Uma Morris,LPC-2103,Mortgage,Irvine Ops Center,Day,7.3,8.5,2.3,93.0,0,,,69.0,2.8,
Kevin Valdez,LPC-2104,Mortgage,Irvine Ops Center,Day,6.2,8.0,3.0,81100.0,1,2026-02-16 07:59:00,,77.0,3.5,
Brandon Diaz,LPC-2105,Mortgage,Irvine Ops Center,Day,2.6,6.4,3.2,85.0,0,,,50.0,3.6,
Carla Young,LPC-2106,Mortgage,Irvine Ops Center,Day,3.7,7.7,3.3,84100.0,0,,2026-02-18 15:45:00,54.0,3.4,
Brandon Lopez,LPC-2107,Mortgage,Irvine Ops Center,Day,4.3,6.5,2.9,82100.0,1,,,63.0,3.3,
Yasmin Patel,LPC-2108,Mortgage,Irvine Ops Center,Day,3.1,7.3,3.2,80.0,1,,,70.0,3.9,
Omar Valdez,LPC-2109,Mortgage,Irvine Ops Center,Day,2.6,7.8,2.9,87.0,0,,,66.0,3.0,
Alicia Jacobs,LPC-2110,Mortgage,Irvine Ops Center,Day,2.8,7.8,3.0,80.0,0,2026-02-19 07:59:00,,68.0,2.9,
Wendy Choi,LPC-2111,Mortgage,Irvine Ops Center,Day,2.4,7.3,2.8,84.0,1,2026-02-17 07:53:00,,75.0,3.6,
Isaac Gupta,LPC-2112,Mortgage,Irvine Ops Center,Day,4.2,8.1,3.1,89.0,1,,,77.0,3.6,
Alicia Reed,LPC-2113,Mortgage,Irvine Ops Center,Evening,3.4,8.2,3.3,84.0,0,,,64.0,3.3,
Farah Quinn,LPC-2114,Mortgage,Irvine Ops Center,Evening,7.1,8.0,2.5,84.0,0,,,60.0,2.4,
