CLERK,CLERK_ID,QUEUE,SITE,SHIFT,YEARS_EXPERIENCE,BASELINE_TASKS_PER_HOUR,BASELINE_ERROR_RATE,TRAINING_SCORE,TREATMENT,SHIFT_START,SHIFT_END,TASKS_COMPLETED,ERROR_RATE
Leah Kim,LPC-2125,Auto,Irvine Ops Center,Day,2.1 years,8.3,2.7%,90 pts,AI Extract,"Feb 18, 2026 07:56",2026-02-18 15:50,76,3.6 pct
Rosa Young,LPC-2126,Auto,Irvine Ops Center,Day,4.3 years,9.1 files per hr,2.4%,score 88,AI Extract,21-Feb-2026 08:19 AM,02/21/2026 04:26 PM,82 apps,3.4%
Samuel Hale,LPC-2127,Auto,Irvine Ops Center,Day,3.9,8.5,2.3 pct,score 87,None,2026-02-21 08:11,02/21/2026 04:00 PM,66,2.4 pct
Victor Kim,LPC-2128,Auto,Irvine Ops Center,Day,6.0 yrs,8.7,1.9 percent,89,Control,21-Feb-2026 08:11 AM,"Feb 21, 2026 16:07",66 files,1.9 %
Janelle Usman,LPC-2129,Auto,Irvine Ops Center,Day,4.4 yrs,8.3 files per hr,1.7 percent,99,Manual Entry,02/21/2026 07:55 AM,02/21/2026 03:37 PM,63,1.6 %
Priya Ellison,LPC-2130,Auto,Irvine Ops Center,Day,2.4 years,7.9/hr,1.9%,score 87,Assist-On,02/19/2026 07:54 AM,02/19/2026 04:05 PM,72 apps,2.9%
Victor Nguyen,LPC-2131,Auto,Irvine Ops Center,Day,3.5,8.6,2.2 %,86,None,2026-02-21 07:42,"Feb 21, 2026 15:57",69 apps,2.4%
Talia Nguyen,LPC-2132,Auto,Irvine Ops Center,Day,3.4,9.1/hr,2.3 %,87,Treatment,"Feb 20, 2026 08:05",2026-02-20 16:10,77 apps,2.8 %
Kevin Choi,LPC-2133,Auto,Irvine Ops Center,Day,4.2,9.2 files per hr,2.1%,84,None,2026-02-18 07:56,18-Feb-2026 03:55 PM,77 apps,1.9 pct
Janelle Valdez,LPC-2134,Auto,Irvine Ops Center,Day,3.1 years,8.6 files per hr,2.0%,92,Manual Entry,2026-02-17 07:44,02/17/2026 03:42 PM,70,2.5 pct
Hannah Foster,LPC-2135,Auto,Irvine Ops Center,Day,6.1 years,9.6/hr,2.2 percent,85 pts,Prefill Enabled,2026-02-16 08:23,02/16/2026 04:21 PM,77 apps,2.8%
Talia Choi,LPC-2136,Auto,Irvine Ops Center,Day,4.8 years,9.3 apps/hr,2.0%,93 pts,Treatment,02/21/2026 08:17 AM,"Feb 21, 2026 16:36",93,2.2%
Carla Gupta,LPC-2137,Auto,Irvine Ops Center,Evening,2.3 years,8.4 apps/hr,2.6 pct,79 pts,Control,19-Feb-2026 11:55 AM,"Feb 19, 2026 19:36",55 apps,2.5 pct
Janelle Ortiz,LPC-2138,Auto,Irvine Ops Center,Evening,4.1 years,8.4 apps/hr,2.5 percent,84 pts,Prefill Enabled,2026-02-18 12:15,18-Feb-2026 08:17 PM,75 apps,3.0%
Leah Ibarra,LPC-2139,Auto,Irvine Ops Center,Evening,2.9 years,8.9 apps/hr,2.5%,92 pts,Control,17-Feb-2026 12:15 PM,02/17/2026 08:19 PM,61 files,2.7 %
Yasmin Young,LPC-2140,Auto,Irvine Ops Center,Evening,7.1 years,9.3 files per hr,1.7 %,score 94,Typing Only,02/16/2026 12:22 PM,"Feb 16, 2026 20:39",74,1.8%
Zane Ellison,LPC-2141,Auto,Irvine Ops Center,Evening,3.3 years,8.5 apps/hr,3.3 %,87 pts,None,17-Feb-2026 12:16 PM,17-Feb-2026 08:18 PM,70 completed,3.2%
Gavin Gupta,LPC-2142,Auto,Irvine Ops Center,Evening,5.2,8.8,1.7 %,score 94,AI Extract,19-Feb-2026 11:59 AM,02/19/2026 07:58 PM,77 completed,2.2 pct
Derek Ibarra,LPC-2143,Auto,Irvine Ops Center,Evening,3.9 yrs,8.6/hr,2.5 percent,85 pts,Group B,02/19/2026 11:43 AM,02/19/2026 07:31 PM,72 apps,2.5 %
Derek Alvarez,LPC-2144,Auto,Irvine Ops Center,Evening,5.2 yrs,9.4/hr,1.9 percent,85/100,Treatment,18-Feb-2026 12:09 PM,02/18/2026 08:11 PM,86 apps,2.4 percent
Zane Turner,LPC-2145,Auto,Irvine Ops Center,Evening,8.5,10.7/hr,2.2%,score 89,Group A,02/19/2026 11:43 AM,19-Feb-2026 07:50 PM,100 completed,2.5 pct
Derek Bennett,LPC-2146,Auto,Irvine Ops Center,Evening,4.1,8.8,2.8%,85 pts,Group B,17-Feb-2026 12:07 PM,17-Feb-2026 08:03 PM,76 completed,2.8%
Rosa Hale,LPC-2147,Auto,Irvine Ops Center,Evening,5.8 years,8.9/hr,2.5 percent,score 85,Treatment,02/21/2026 12:18 PM,2026-02-21 20:32,84 completed,3.1 pct
Nina Morris,LPC-2148,Auto,Irvine Ops Center,Evening,0.5 years,7.4/hr,2.2 %,93 pts,AI Extract,02/17/2026 11:51 AM,17-Feb-2026 07:37 PM,71,3.0 %
Nina Reed,LPC-2101,Mortgage,Irvine Ops Center,Day,4.3 years,7.6,2.4%,89/100,Prefill Enabled,"Feb 17, 2026 08:21","Feb 17, 2026 16:11",73 files,3.2 percent
Omar Ellison,LPC-2102,Mortgage,Irvine Ops Center,Day,5.2 yrs,7.6 apps/hr,3.2 %,82 pts,Control,16-Feb-2026 08:09 AM,02/16/2026 04:16 PM,58,3.0 percent
Uma Morris,LPC-2103,Mortgage,Irvine Ops Center,Day,7.3 years,8.5 apps/hr,2.3 %,93,Manual Entry,02/16/2026 07:55 AM,"Feb 16, 2026 16:08",69 completed,2.8 percent
Kevin Valdez,LPC-2104,Mortgage,Irvine Ops Center,Day,6.2 years,8.0,3.0 pct,81/100,Prefill Enabled,"Feb 16, 2026 07:59","Feb 16, 2026 15:55",77,3.5%
Brandon Diaz,LPC-2105,Mortgage,Irvine Ops Center,Day,2.6,6.4 files per hr,3.2 percent,85,Typing Only,16-Feb-2026 08:17 AM,pending log,50 apps,3.6 percent
Carla Young,LPC-2106,Mortgage,Irvine Ops Center,Day,3.7 years,7.7/hr,3.3%,84/100,Group B,02/18/2026 07:45 AM,2026-02-18 15:45,54 files,3.4 %
Brandon Lopez,LPC-2107,Mortgage,Irvine Ops Center,Day,4.3,6.5 files per hr,2.9 percent,82/100,Prefill Enabled,16-Feb-2026 08:01 AM,16-Feb-2026 04:04 PM,63 apps,3.3 %
Yasmin Patel,LPC-2108,Mortgage,Irvine Ops Center,Day,3.1 years,7.3/hr,3.2 pct,80 pts,Group A,02/18/2026 08:03 AM,"Feb 18, 2026 15:58",70 apps,3.9 %
Omar Valdez,LPC-2109,Mortgage,Irvine Ops Center,Day,2.6 years,7.8 files per hr,2.9%,87 pts,Control,2026-02-17 08:13,"Feb 17, 2026 16:19",66 completed,3.0%
Alicia Jacobs,LPC-2110,Mortgage,Irvine Ops Center,Day,2.8 years,7.8/hr,3.0 percent,80 pts,Control,"Feb 19, 2026 07:59",19-Feb-2026 04:01 PM,68,2.9%
Wendy Choi,LPC-2111,Mortgage,Irvine Ops Center,Day,2.4,7.3 apps/hr,2.8 percent,84 pts,AI Extract,"Feb 17, 2026 07:53",17-Feb-2026 03:32 PM,75 apps,3.6 %
Isaac Gupta,LPC-2112,Mortgage,Irvine Ops Center,Day,4.2 yrs,8.1/hr,3.1 pct,89,Assist-On,17-Feb-2026 07:50 AM,pending log,77 files,3.6 pct
Alicia Reed,LPC-2113,Mortgage,Irvine Ops Center,Evening,3.4 years,8.2 files per hr,3.3 %,score 84,Manual Entry,2026-02-17 12:07,"Feb 17, 2026 20:06",64 apps,3.3%
Farah Quinn,LPC-2114,Mortgage,Irvine Ops Center,Evening,7.1 yrs,8.0,2.5 %,84 pts,None,2026-02-18 11:56,18-Feb-2026 07:37 PM,60 completed,2.4 pct
Talia Lopez,LPC-2115,Mortgage,Irvine Ops Center,Evening,7.0 years,7.8 apps/hr,2.5 pct,94/100,Assist-On,"Feb 16, 2026 12:02",16-Feb-2026 07:47 PM,72 files,3.0 %
Leah Bennett,LPC-2116,Mortgage,Irvine Ops Center,Evening,1.2 years,6.3 files per hr,4.1%,70/100,Typing Only,2026-02-16 12:11,02/16/2026 08:12 PM,56,4.0 pct
Uma Alvarez,LPC-2117,Mortgage,Irvine Ops Center,Evening,6.3,8.3 files per hr,2.6%,95,Prefill Enabled,2026-02-20 12:25,02/20/2026 08:28 PM,75 completed,3.5 percent
Uma Nguyen,LPC-2118,Mortgage,Irvine Ops Center,Evening,0.5 years,6.2/hr,4.2 percent,81/100,Treatment,2026-02-19 12:24,19-Feb-2026 08:34 PM,59,5.4 %
Derek Ellison,LPC-2119,Mortgage,Irvine Ops Center,Evening,5.1 yrs,7.5/hr,3.3%,79 pts,Control,18-Feb-2026 11:54 AM,2026-02-18 19:40,68 files,3.5 %
Marco Usman,LPC-2120,Mortgage,Irvine Ops Center,Evening,2.4 years,7.5 files per hr,3.4 percent,82,None,2026-02-19 11:45,2026-02-19 19:29,60 files,3.3 %
Carla Usman,LPC-2121,Mortgage,Irvine Ops Center,Evening,4.1 years,7.1,3.3 pct,77 pts,Treatment,2026-02-21 12:25,"Feb 21, 2026 20:33",71 completed,4.1%
Omar Usman,LPC-2122,Mortgage,Irvine Ops Center,Evening,6.8 years,8.4 apps/hr,3.1%,86,None,2026-02-17 12:25,"Feb 17, 2026 20:21",71,3.3 percent
Janelle Lopez,LPC-2123,Mortgage,Irvine Ops Center,Evening,7.6 years,8.3,2.3 percent,95/100,Group A,"Feb 20, 2026 12:05",20-Feb-2026 07:58 PM,79,3.3%
Janelle Quinn,LPC-2124,Mortgage,Irvine Ops Center,Evening,6.3 years,7.5/hr,2.9%,80/100,Assist-On,02/19/2026 12:16 PM,19-Feb-2026 08:19 PM,61 completed,3.5%
Xavier Ortiz,LPC-2149,Personal,Irvine Ops Center,Day,7.1 years,10.2/hr,0.8 %,score 94,AI Extract,18-Feb-2026 08:11 AM,"Feb 18, 2026 16:06",95 completed,1.1 pct
Yasmin Ibarra,LPC-2150,Personal,Irvine Ops Center,Day,9 years,10.1 apps/hr,0.9 percent,94,Group A,17-Feb-2026 07:54 AM,"Feb 17, 2026 15:36",91 apps,1.1 pct
Talia Alvarez,LPC-2151,Personal,Irvine Ops Center,Day,3.7 yrs,10.8 apps/hr,1.7 percent,84 pts,Assist-On,17-Feb-2026 08:02 AM,02/17/2026 04:23 PM,101 files,2.4 percent
Xavier Nguyen,LPC-2152,Personal,Irvine Ops Center,Day,7.5 yrs,9.6,1.1%,93 pts,Manual Entry,"Feb 19, 2026 08:07",2026-02-19 16:05,81 completed,TBD
Janelle Zimmerman,LPC-2153,Personal,Irvine Ops Center,Day,4.7 yrs,9.6/hr,1.5%,score 95,Treatment,02/21/2026 08:01 AM,02/21/2026 04:17 PM,82,1.3 pct
